run,measure,n,baseline,rag,delta,t,p,dz
llama3-8b few_shot,quality_score,52,2.019230769230769,2.4423076923076925,0.4230769230769231,3.0014594989917143,0.00415207486513496,0.4162275432631955
llama3-8b few_shot,hallucination_flag,52,0.38461538461538464,0.09615384615384616,-0.28846153846153844,-3.878056018121122,0.0003026591953459563,-0.5377896085560543
llama3-8b few_shot,truncated,52,0.038461538461538464,0.0,-0.038461538461538464,-1.4282856857085702,0.1593054006600366,-0.19806758753205744
llama3-8b zero_shot,quality_score,52,1.9423076923076923,2.5,0.5576923076923077,4.732587984807315,1.7985077743539753e-05,0.6562918709564448
llama3-8b zero_shot,hallucination_flag,52,0.5384615384615384,0.1346153846153846,-0.40384615384615385,-4.832715612046284,1.2755699237365973e-05,-0.6701770745757005
llama3-8b zero_shot,truncated,52,0.038461538461538464,0.0,-0.038461538461538464,-1.4282856857085702,0.1593054006600366,-0.19806758753205742
mistral-7b few_shot,quality_score,52,2.0,1.8461538461538463,-0.15384615384615385,-1.0705453823777566,0.2894142943803442,-0.14845793341823865
mistral-7b few_shot,hallucination_flag,52,0.28846153846153844,0.11538461538461539,-0.17307692307692307,-2.9005933798437664,0.005484159166879706,-0.4022399292422344
mistral-7b few_shot,truncated,52,0.07692307692307693,0.36538461538461536,0.28846153846153844,4.172858323228332,0.00011715971660818658,0.5786713326787091
mistral-7b zero_shot,quality_score,52,1.9615384615384615,1.7692307692307692,-0.19230769230769232,-1.2183119679385703,0.22871154428787224,-0.1689494719197675
mistral-7b zero_shot,hallucination_flag,52,0.3076923076923077,0.09615384615384616,-0.21153846153846154,-2.8439077466221563,0.006397384416327433,-0.3943790462744398
mistral-7b zero_shot,truncated,52,0.09615384615384616,0.3269230769230769,0.23076923076923078,3.0451153135353137,0.0036749920756089663,0.4222815154866222
ALL,quality_score,208,1.9807692307692308,2.139423076923077,0.15865384615384615,2.153169588223705,0.03246176064122902,0.14929544913673562
ALL,hallucination_flag,208,0.3798076923076923,0.11057692307692307,-0.2692307692307692,-7.277778331417718,6.921046535792088e-12,-0.5046231335651411
ALL,truncated,208,0.0625,0.17307692307692307,0.11057692307692307,3.800077735415394,0.00019018323283165594,0.26348798318825545
