run,measure,n,baseline,rag,delta,t,p,dz
llama3-8b few_shot,quality_score,52,2.0576923076923075,2.5384615384615383,0.4807692307692308,3.3390123012582373,0.0015769815656455236,0.4630376946765995
llama3-8b few_shot,hallucination_flag,52,0.25,0.07692307692307693,-0.17307692307692307,-2.63493019696104,0.011117779279092932,-0.3653990743235176
llama3-8b few_shot,truncated,52,0.0,0.0,0.0,,,0.0
llama3-8b zero_shot,quality_score,52,1.9038461538461537,2.5961538461538463,0.6923076923076923,4.35310708395781,6.468364917157192e-05,0.603667338415208
llama3-8b zero_shot,hallucination_flag,52,0.28846153846153844,0.09615384615384616,-0.19230769230769232,-2.639547899689282,0.010985742694965163,-0.36603943447588405
llama3-8b zero_shot,truncated,52,0.0,0.0,0.0,,,0.0
mistral-7b few_shot,quality_score,52,1.8461538461538463,2.2115384615384617,0.36538461538461536,2.428022443782596,0.018748621957043906,0.3367061315013665
mistral-7b few_shot,hallucination_flag,52,0.3269230769230769,0.09615384615384616,-0.23076923076923078,-3.2671728764562125,0.0019466469726870704,-0.45307535891800177
mistral-7b few_shot,truncated,52,0.0,0.0,0.0,,,0.0
mistral-7b zero_shot,quality_score,52,1.75,2.1538461538461537,0.40384615384615385,2.589155418744558,0.0125073303595656,0.3590512547088054
mistral-7b zero_shot,hallucination_flag,52,0.34615384615384615,0.17307692307692307,-0.17307692307692307,-2.2681398284595646,0.02758543827296406,-0.3145344019781945
mistral-7b zero_shot,truncated,52,0.0,0.0,0.0,,,0.0
ALL,quality_score,208,1.8894230769230769,2.375,0.4855769230769231,6.372978614231878,1.1830463436057733e-09,0.4418865609817014
ALL,hallucination_flag,208,0.30288461538461536,0.11057692307692307,-0.19230769230769232,-5.414805011673791,1.6927724424877376e-07,-0.3754491753121007
ALL,truncated,208,0.0,0.0,0.0,,,0.0
