run,measure,n,before,after,delta,t,p,dz
mistral-7b few_shot RAG,bertscore_f1,52,0.867,0.894,0.027,4.5009219561210285,3.946374298142112e-05,0.624165573063694
mistral-7b zero_shot RAG,bertscore_f1,52,0.866,0.891,0.025,4.744356873033833,1.7275283868140623e-05,0.6579239221085953
llama3-8b few_shot RAG,bertscore_f1,52,0.868,0.881,0.013,4.465075916540518,4.45120069795145e-05,0.6191946217663925
llama3-8b zero_shot RAG,bertscore_f1,52,0.867,0.877,0.01,3.2344206588161555,0.0021411111921225,0.448533443530064
llama3-8b zero_shot baseline,bertscore_f1,52,0.839,0.843,0.003,2.937751116433016,0.0049529092813677,0.4073927801865699
mistral-7b few_shot baseline,bertscore_f1,52,0.86,0.863,0.002,0.9722210938293636,0.3355292829763839,0.1348228078803637
llama3-8b few_shot baseline,bertscore_f1,52,0.844,0.845,0.0,0.0952338832578494,0.924502268717226,0.0132065634326049
mistral-7b zero_shot baseline,bertscore_f1,52,0.861,0.861,-0.0,-0.1297259017621412,0.8972935898633886,-0.0179897457907386
mistral-7b few_shot RAG,complete,52,0.635,0.942,0.308,4.760952285695234,1.6320865238042844e-05,0.6602252917735248
mistral-7b zero_shot RAG,complete,52,0.654,0.942,0.288,4.172858323228332,0.0001171597166081,0.5786713326787091
mistral-7b zero_shot baseline,complete,52,0.904,0.942,0.038,0.8138413004619897,0.4195195209382933,0.1128594822656153
llama3-8b zero_shot baseline,complete,52,0.923,0.942,0.019,0.37482778414706,0.7093427605049545,0.0519792613542605
mistral-7b few_shot baseline,complete,52,0.923,0.942,0.019,0.4437467711557988,0.659102698899022,0.0615366052586083
llama3-8b few_shot RAG,complete,52,1.0,1.0,0.0,,,0.0
llama3-8b few_shot baseline,complete,52,0.962,0.962,0.0,0.0,1.0,0.0
llama3-8b zero_shot RAG,complete,52,1.0,1.0,0.0,,,0.0
mistral-7b zero_shot RAG,completion_tokens,52,64.904,127.769,62.865,6.401052856294155,4.803622959196828e-08,0.8876663188586077
mistral-7b few_shot RAG,completion_tokens,52,64.365,108.346,43.981,5.223789816728359,3.2697070471476176e-06,0.7244093090946435
mistral-7b zero_shot baseline,completion_tokens,52,143.231,168.019,24.788,2.2767571158310345,0.0270281265755501,0.3157294047271654
mistral-7b few_shot baseline,completion_tokens,52,161.019,178.731,17.712,1.1624145936913484,0.250477837376352,0.1611979008039152
llama3-8b few_shot RAG,completion_tokens,52,182.519,186.519,4.0,0.3704310182420934,0.7125954562200685,0.0513695396267001
llama3-8b zero_shot RAG,completion_tokens,52,203.538,202.019,-1.519,-0.1193552385640025,0.9054628426341206,-0.0165515935629903
llama3-8b few_shot baseline,completion_tokens,52,297.462,265.769,-31.692,-2.455450426905161,0.0175193262348021,-0.3405097084064038
llama3-8b zero_shot baseline,completion_tokens,52,309.442,261.827,-47.615,-2.6458868841422145,0.0108068241259378,-0.3669184934558616
llama3-8b few_shot RAG,degenerate,52,0.0,0.0,0.0,,,0.0
llama3-8b few_shot baseline,degenerate,52,0.0,0.0,0.0,,,0.0
llama3-8b zero_shot RAG,degenerate,52,0.0,0.0,0.0,,,0.0
llama3-8b zero_shot baseline,degenerate,52,0.0,0.0,0.0,,,0.0
mistral-7b few_shot RAG,degenerate,52,0.0,0.0,0.0,,,0.0
mistral-7b few_shot baseline,degenerate,52,0.0,0.0,0.0,,,0.0
mistral-7b zero_shot RAG,degenerate,52,0.0,0.0,0.0,,,0.0
mistral-7b zero_shot baseline,degenerate,52,0.0,0.0,0.0,,,0.0
mistral-7b zero_shot RAG,rouge_l,52,0.195,0.357,0.163,6.176787175620509,1.0828841093298489e-07,0.8565662645895438
mistral-7b few_shot RAG,rouge_l,52,0.207,0.362,0.155,5.225630035871268,3.2486184670342666e-06,0.7246645015745607
llama3-8b few_shot RAG,rouge_l,52,0.225,0.286,0.061,3.988326527748127,0.0002129540187796,0.5530813768880432
llama3-8b zero_shot RAG,rouge_l,52,0.224,0.265,0.041,2.669986295549517,0.0101506907907584,0.3702604805149975
mistral-7b few_shot baseline,rouge_l,52,0.17,0.177,0.007,1.2252615003136185,0.2261053504555606,0.1699131986627957
llama3-8b zero_shot baseline,rouge_l,52,0.132,0.137,0.005,1.2558098225652787,0.2149078413924201,0.1741494887496325
mistral-7b zero_shot baseline,rouge_l,52,0.171,0.176,0.005,0.8373584088969367,0.406298076912439,0.1161207184314941
llama3-8b few_shot baseline,rouge_l,52,0.14,0.142,0.001,0.3951878042120236,0.6943524169952243,0.0548026881355567
