track,safety_threshold,accuracy,macro_f1,kappa,safety_recall,safety_precision,risk,risk_ci95
audited,0.1,0.7344,0.6005,0.6395,1.0,0.4042,0.4086,0.0266
audited,0.15,0.8247,0.7286,0.7563,1.0,1.0,0.3505,0.0325
audited,0.2,0.8247,0.7286,0.7563,1.0,1.0,0.3505,0.0325
audited,0.25,0.8247,0.7286,0.7563,1.0,1.0,0.3505,0.0325
audited,0.3,0.8247,0.7286,0.7563,1.0,1.0,0.3505,0.0325
audited,0.4,0.8247,0.7286,0.7563,1.0,1.0,0.3505,0.0325
audited,0.5,0.8247,0.7286,0.7563,1.0,1.0,0.3505,0.0325
audited,0.6,0.8247,0.7286,0.7563,1.0,1.0,0.3505,0.0325
audited,0.7,0.8247,0.7286,0.7563,1.0,1.0,0.3505,0.0325
topic,0.1,0.2075,0.1126,0.0757,1.0,0.1414,0.8849,0.0174
topic,0.15,0.6753,0.5553,0.5862,0.9583,0.8028,0.6613,0.0431
topic,0.2,0.672,0.5585,0.5812,0.8167,1.0,0.8452,0.0465
topic,0.25,0.6634,0.5509,0.5698,0.75,1.0,0.9312,0.0356
topic,0.3,0.6634,0.5509,0.5698,0.75,1.0,0.9312,0.0356
topic,0.4,0.6634,0.5509,0.5698,0.75,1.0,0.9312,0.0356
topic,0.5,0.6634,0.5509,0.5698,0.75,1.0,0.9312,0.0356
topic,0.6,0.6634,0.5509,0.5698,0.75,1.0,0.9312,0.0356
topic,0.7,0.6634,0.5509,0.5698,0.75,1.0,0.9312,0.0356
