label,config,n_prompts,repeats,folds,accuracy_mean,accuracy_ci95,macro_f1_mean,macro_f1_ci95,safety_recall_mean,safety_recall_ci95,safety_precision_mean,safety_precision_ci95,risk_mean,risk_ci95,rule_share_mean,compare_to,delta_accuracy,delta_p,delta_dz
baseline,baseline,93,10,4,0.6881720430107527,0.0245930551976599,0.5922381945442299,0.0338060814748981,0.9583333333333331,0.0314188494833084,0.7598809523809524,0.0396197974280846,0.6268817204301076,0.0584738915255527,0.0967741935483871,,,,
baseline_no_rules,classifier_only,93,10,4,0.6870967741935485,0.0241751652473136,0.5912029140352653,0.0331897184149576,0.9499999999999998,0.0416818140323142,0.7582326007326008,0.0391817333118993,0.6376344086021506,0.0640539124950029,0.0,,,,
taxonomy_v1,baseline,93,10,4,0.6688172043010754,0.0222935622202351,0.4962864151146864,0.0204203745994897,0.76875,0.0301768194958239,0.6907312622018503,0.0500272663440398,0.9193548387096774,0.0510552217348398,0.0967741935483871,,,,
baseline_topic,baseline,93,10,3,0.6731182795698926,0.0215131943392589,0.5523656624279776,0.0412884667462707,0.9666666666666666,0.030784059815765,0.7784453781512605,0.0472968802038222,0.6516129032258066,0.0444394356463558,0.0967741935483871,,,,
baseline_audited,baseline,93,10,3,0.8279569892473118,0.0149505795926893,0.7451903587510801,0.0248954659371632,1.0,0.0,0.8904545454545456,0.0638373321233975,0.3311827956989247,0.0258443387497405,0.0967741935483871,,,,
cascade_topic,cascade,93,10,3,0.6634408602150538,0.0177824300517706,0.5508852708714966,0.0370269360187808,0.75,0.0,1.0,0.0,0.9311827956989248,0.0355648601035413,0.0967741935483871,baseline_topic,-0.0096774193548387,0.0414161504862627,-0.7517421626261013
cascade_audited,cascade,93,10,3,0.8247311827956988,0.0162364379508753,0.7285993899381671,0.0270524071645907,1.0,0.0,1.0,0.0,0.3505376344086021,0.0324728759017507,0.0967741935483871,baseline_audited,-0.0032258064516129,0.3434363961379131,-0.3162277660168384
char_ngrams_audited,char_ngrams,93,10,3,0.8225806451612903,0.0131990145567648,0.7044327239380475,0.0302077194493005,1.0,0.0,0.8668181818181818,0.0687734985019862,0.3387096774193548,0.0212209028234078,0.0967741935483871,baseline_audited,-0.0053763440860215,0.4401575296513452,-0.2553769592276247
char_ngrams_topic,char_ngrams,93,10,3,0.6935483870967742,0.0286090374730601,0.553841368786335,0.0358308390489138,0.9833333333333332,0.0251350795866467,0.8080995475113122,0.0483258972134393,0.5989247311827958,0.0624954424447647,0.0967741935483871,baseline_topic,0.0204301075268817,0.0200971960222937,0.8912780307610862
char_only_audited,char_only,93,10,3,0.8032258064516128,0.0130990205820517,0.6923584152064027,0.0297307117075377,1.0,0.0,0.8246853146853148,0.0541111907874945,0.3763440860215054,0.0198606837521064,0.0967741935483871,baseline_audited,-0.0247311827956989,0.0337925568412914,-0.7909640818091674
char_only_topic,char_only,93,10,3,0.6698924731182796,0.029691556149706,0.5485898410500366,0.0364284537777031,0.9916666666666666,0.018851309689985,0.7872549019607844,0.0424861701703745,0.6333333333333334,0.0631650929573327,0.0967741935483871,baseline_topic,-0.0032258064516129,0.7577400727729545,-0.1005602284730988
baseline_audited_ext,baseline,163,10,3,0.7644171779141103,0.0272271921742091,0.7407594767302171,0.0292150353077941,0.91,0.0282140568607582,0.7035056307365636,0.0557049002885763,0.5392638036809816,0.0703849866343811,0.0736196319018405,,,,
baseline_topic_ext,baseline,163,10,3,0.658282208588957,0.0168137785764865,0.6501934300669624,0.0183881715208169,0.8,0.0300478447316211,0.6229474548440066,0.0217166412865667,0.901840490797546,0.0499103258399736,0.0736196319018405,,,,
char_ngrams_audited_ext,char_ngrams,163,10,3,0.811042944785276,0.0188253942966722,0.7893613257796308,0.021267651443116,0.905,0.0313181477836176,0.7351627575323227,0.033194157510861,0.4613496932515336,0.0456930145182578,0.0736196319018405,baseline_audited_ext,0.0466257668711656,0.0006290364101563,1.6186912276041354
char_ngrams_topic_ext,char_ngrams,163,10,3,0.6920245398773006,0.0136919709205315,0.6825402409074858,0.0145694609730622,0.782608695652174,0.0293236938655353,0.6304466037196849,0.0194346595945112,0.8638036809815951,0.0429404666888768,0.0736196319018405,baseline_topic_ext,0.0337423312883435,0.0002112447071622,1.8864844365675988
cascade_audited_ext,cascade,163,10,3,0.7558282208588956,0.0223588948855517,0.7340435143835173,0.0232554881165396,0.5999999999999999,8.371663224864286e-17,1.0,0.0,0.8809815950920246,0.0447177897711034,0.0736196319018405,baseline_audited_ext,-0.0085889570552147,0.1579959084362823,-0.4869258405481764
cascade_topic_ext,cascade,163,10,3,0.6613496932515337,0.0148899689704956,0.6576078757950876,0.0154799183232062,0.5217391304347825,8.371663224864286e-17,1.0,0.0,1.2171779141104293,0.0297799379409912,0.0736196319018405,baseline_topic_ext,0.0030674846625766,0.5129405683951562,0.2153874475853218
embeddings_audited_ext,embeddings,163,10,3,0.8190184049079754,0.0059423179725227,0.8055942818762144,0.0067878361284295,0.8550000000000001,0.026391833565979,0.8191991341991341,0.0309059242085007,0.505521472392638,0.0280784885195067,0.0736196319018405,char_ngrams_audited_ext,0.0079754601226993,0.2969699335195722,0.3500892024004582
embeddings_topic_ext,embeddings,163,10,3,0.7294478527607362,0.0152660912826872,0.7238653273857174,0.016126129570544,0.7434782608695651,0.0229494204921557,0.8117778438190337,0.0531355168717739,0.832515337423313,0.0447584499258469,0.0736196319018405,char_ngrams_topic_ext,0.0374233128834356,0.0003585211718426,1.7536267024570131
embeddings_word_audited_ext,embeddings_word,163,10,3,0.8564417177914111,0.0075165037496502,0.8453995864430144,0.0082148730488636,0.8949999999999999,0.0203034819021802,0.8914516363372199,0.0463625349369119,0.3932515337423312,0.0185563235818863,0.0736196319018405,char_ngrams_audited_ext,0.0453987730061349,0.0001506678255545,1.974601385827375
embeddings_word_topic_ext,embeddings_word,163,10,3,0.7429447852760737,0.0108392713175426,0.7371244822016698,0.010388167652855,0.7695652173913043,0.0209925700840514,0.7529036832732484,0.0371496910927297,0.7883435582822086,0.040448522268981,0.0736196319018405,char_ngrams_topic_ext,0.050920245398773,7.475158342704278e-06,2.892612396732897
router_v2_audited_ext,embeddings_word,163,10,3,0.869325153374233,0.009263734536389,0.8591992935635009,0.0101830401335006,1.0,0.0,0.9008925856751944,0.0437651483711175,0.2644171779141104,0.0180891290765711,0.1042944785276073,embeddings_word_audited_ext,0.012883435582822,9.558605167909657e-07,3.6994873829426185
router_v2_topic_ext,embeddings_word,163,10,3,0.7570552147239265,0.0101773941884581,0.7513540622055296,0.0098312855198305,0.8695652173913043,0.0,0.7748514448514447,0.0342405577554006,0.647239263803681,0.0228745914827116,0.1042944785276073,embeddings_word_topic_ext,0.0141104294478527,1.9145316515957185e-06,3.407667108441081
router_v4_topic_ext,embeddings_word,209,10,3,0.7301435406698564,0.0097078826168044,0.7181057403585153,0.0105901051218478,0.609375,0.0117820685562406,0.687897623325877,0.0378461306145984,1.0220095693779905,0.0268637628002548,0.0813397129186602,,,,
