repeat,seed,accuracy,macro_f1,safety_recall,safety_precision,risk,kappa,rule_share,note
0,0,0.7311827956989247,0.6456914859108708,0.9166666666666666,0.7857142857142857,0.5913978494623656,0.6581385090427878,0.0967741935483871,
1,1,0.6881720430107527,0.5738200496821186,1.0,0.8,0.5913978494623656,0.6072520751419834,0.0967741935483871,
2,2,0.7311827956989247,0.6439458145639897,1.0,0.8,0.5053763440860215,0.6588908450704225,0.0967741935483871,
3,3,0.7096774193548387,0.631971587535159,0.9166666666666666,0.7857142857142857,0.6344086021505376,0.6284403669724771,0.0967741935483871,
4,4,0.6989247311827957,0.625419080098883,0.9166666666666666,0.6875,0.6344086021505376,0.6194095293773749,0.0967741935483871,
5,5,0.6236559139784946,0.5203210984059919,0.9166666666666666,0.6875,0.7849462365591398,0.5295562942621765,0.0967741935483871,
6,6,0.6881720430107527,0.5944549862955935,1.0,0.8,0.5913978494623656,0.6073664288833892,0.0967741935483871,
7,7,0.6559139784946236,0.5217573696145125,1.0,0.6666666666666666,0.6236559139784946,0.5556219202628041,0.0967741935483871,
8,8,0.6989247311827957,0.6071528668060321,1.0,0.8,0.5698924731182796,0.6209606986899563,0.0967741935483871,
9,9,0.6559139784946236,0.5578476065291481,0.9166666666666666,0.7857142857142857,0.7419354838709677,0.5677559912854031,0.0967741935483871,
summary,0-9,0.6882,0.5922,0.9583,0.7599,,,0.0968,"min 0.624, max 0.731, range 10.8pp"
