run,measure,n,baseline,rag,delta,t,p,dz
llama3-8b few_shot,quality_score,52,2.0576923076923075,2.5384615384615383,0.4807692307692308,3.3390123012582373,0.0015769815656455,0.4630376946765995
llama3-8b few_shot,hallucination_flag,52,0.25,0.0769230769230769,-0.173076923076923,-2.63493019696104,0.0111177792790929,-0.3653990743235176
llama3-8b few_shot,truncated,52,0.0,0.0,0.0,,,0.0
llama3-8b zero_shot,quality_score,52,1.9038461538461535,2.5961538461538463,0.6923076923076923,4.35310708395781,6.468364917157192e-05,0.603667338415208
llama3-8b zero_shot,hallucination_flag,52,0.2884615384615384,0.0961538461538461,-0.1923076923076923,-2.639547899689282,0.0109857426949651,-0.366039434475884
llama3-8b zero_shot,truncated,52,0.0,0.0,0.0,,,0.0
mistral-7b few_shot,quality_score,52,1.8461538461538465,2.2115384615384617,0.3653846153846153,2.428022443782596,0.0187486219570439,0.3367061315013665
mistral-7b few_shot,hallucination_flag,52,0.3269230769230769,0.0961538461538461,-0.2307692307692307,-3.2671728764562125,0.001946646972687,-0.4530753589180017
mistral-7b few_shot,truncated,52,0.0,0.0,0.0,,,0.0
mistral-7b zero_shot,quality_score,52,1.75,2.1538461538461537,0.4038461538461538,2.589155418744558,0.0125073303595656,0.3590512547088054
mistral-7b zero_shot,hallucination_flag,52,0.3461538461538461,0.173076923076923,-0.173076923076923,-2.2681398284595646,0.027585438272964,-0.3145344019781945
mistral-7b zero_shot,truncated,52,0.0,0.0,0.0,,,0.0
ALL,quality_score,208,1.8894230769230769,2.375,0.4855769230769231,6.372978614231878,1.1830463436057731e-09,0.4418865609817014
ALL,hallucination_flag,208,0.3028846153846153,0.110576923076923,-0.1923076923076923,-5.414805011673791,1.6927724424877376e-07,-0.3754491753121007
ALL,truncated,208,0.0,0.0,0.0,,,0.0
